"Common/ButtonExit","ZAVŘÍT"
"Module/Description/153","On Rum and its role in combat"
"Module/Description/155","On Rum and its role in combat"
"Module/Description/157","On Rum and its role in combat"
"Module/Description/1752","Treatise on improved hammock"
"Module/Description/1753","Treatise on improved hammock"
"Module/Description/1754","Treatise on improved hammock"
"Module/Description/1653","Smaller narrower hammocks arrangement allow you to carry more crew"
"Module/Description/1429","A manuscrtipt on how to protect crew from gun fire"
"Module/Description/1593","Admilarty combat reports on crew distribution during repairs"
"Module/Description/673","Treatise on extra carpenter training"
"Module/Description/1594","Admiralty combat reports describing efficient repairs"
"Module/Description/675","Treatise on extra carpenter training"
"Module/Description/677","Treatise on extra carpenter training"
"Module/Description/1430","Everything a good carpenter should know"
"Module/Description/158","Treatise on planking pitch and tar"
"Module/Description/160","Treatise on planking pitch and tar"
"Module/Description/162","Treatise on planking pitch and tar"
"Module/Description/163","Manual on chain pumps"
"Module/Description/165","Manual on chain pumps"
"Module/Description/167","Manual on chain pumps"
"Module/Description/1435","Trained carpenters from Northern Europe"
"Module/Description/1436","Master carpenters from Northern Europe"
"Module/Description/1731","Extra Buckets"
"Module/Description/538","The secrets of fire and powder"
"Module/Description/489","The secrets of fire and powder"
"Module/Description/541","The secrets of fire and powder"
"Module/Description/1655","Basic hull protection"
"Module/Description/1738","Tradional wood for knees"
"Module/Description/1432","Diagonal riders improve the hull strength but impairs the speed"
"Module/Description/1434","Iron knees don't splinter but get corroded"
"Module/Description/1598","Refit of the hull and riders"
"Module/Description/1671","Regional stern improvement"
"Module/Description/1670","Regional bow and stern improvement"
"Module/Description/1667","Hmm... Something interesting"
"Module/Description/1437","Ocote Pine is stronger than the common pines of the West Indies"
"Module/Description/1765","Manual on securing and reinforcing the masts"
"Module/Description/1766","Manual on securing and reinforcing the masts"
"Module/Description/1767","Manual on securing and reinforcing the masts"
"Module/Description/1595","Stronger metal bands for masts"
"Module/Description/1596","Special treatment of logs increasing their strength"
"Module/Description/1431","Regional hull improvement"
"Module/Description/1441","Reinforcing the gundecks improves the gunfire  resistance but impairs speed and náklon"
"Module/Description/1433","Reinforcing the gundecks improves the gunfire  resistance but impairs speed and náklon"
"Module/Description/1597","Refit of the orlop deck allowing easier access of carpenters"
"Module/Description/1126","Extra hand pumps on board of Ship-of-War"
"Module/Description/1127","Extra hand pumps on board of Ship-of-War"
"Module/Description/1128","Extra hand pumps on board of Ship-of-War"
"Module/Description/1129","A new  model of a pump designed by talanted engineers"
"Module/Description/1130","A new  model of a pump designed by talanted engineers"
"Module/Description/1131","A new  model of a pump designed by talanted engineers"
"Module/Description/1739","Manual on reinforcing the rudders"
"Module/Description/1740","Manual on reinforcing the rudders"
"Module/Description/1741","Manual on reinforcing the rudders"
"Module/Description/168","Manual on reinforcing the rudders"
"Module/Description/170","Manual on reinforcing the rudders"
"Module/Description/172","Manual on reinforcing the rudders"
"Module/Description/1656","Basic sail protection"
"Module/Description/523","Tajemství lehkého plátna"
"Module/Description/525","Tajemství lehkého plátna"
"Module/Description/527","Tajemství lehkého plátna"
"Module/Description/1732","Secrets of heavy canvas"
"Module/Description/1733","Secrets of heavy canvas"
"Module/Description/1734","Secrets of heavy canvas"
"Module/Description/1654","Basic carpenters equipement"
"Module/Description/1755","Treatise on carpentry instruments"
"Module/Description/1756","Treatise on carpentry instruments"
"Module/Description/1757","Treatise on carpentry instruments"
"Module/Description/178","Treatise on carpentry instruments"
"Module/Description/180","Treatise on carpentry instruments"
"Module/Description/182","Treatise on carpentry instruments"
"Module/Description/173","Manual on securing and reinforcing the masts"
"Module/Description/175","Manual on securing and reinforcing the masts"
"Module/Description/177","Manual on securing and reinforcing the masts"
"Module/Description/533","Secrets of heavy canvas"
"Module/Description/535","Secrets of heavy canvas"
"Module/Description/537","Secrets of heavy canvas"
"Module/Description/548","Treatise on survival and damage control"
"Module/Description/550","Treatise on survival and damage control"
"Module/Description/552","Treatise on survival and damage control"
"Module/Description/188","Pellew's guide on aiming"
"Module/Description/190","Pellew's guide on aiming"
"Module/Description/192","Pellew's guide on aiming"
"Module/Description/1141","A treatise on naval gunnery science from the principal naval arsenal of France in West India."
"Module/Description/1142","A treatise on naval gunnery science from the principal naval arsenal of France in West India."
"Module/Description/1143","A treatise on naval gunnery science from the principal naval arsenal of France in West India."
"Module/Description/1599","Admiralty combat reports describing gunnery under fire"
"Module/Description/1371","Complete gunnery guide that absorbed various ideas from british and french sources"
"Module/Description/1132","A treatise on pendulum usage on board of Ship-of-War"
"Module/Description/1133","A treatise on pendulum usage on board of Ship-of-War"
"Module/Description/1134","A treatise on pendulum usage on board of Ship-of-War"
"Module/Description/1372","The following rules for concentrating, or directing the fire of several guns towards a given point are extracted from this book."
"Module/Description/543","The moždíř handbook"
"Module/Description/545","The moždíř handbook"
"Module/Description/547","The moždíř handbook"
"Module/Description/193","Young boys and powder - the guide"
"Module/Description/195","Young boys and powder - the guide"
"Module/Description/197","Young boys and powder - the guide"
"Module/Description/1373","High quality powder"
"Module/Description/1374","Superior quality powder"
"Module/Description/1658","Basic gunpowder"
"Module/Description/1377","High quality powder"
"Module/Description/1378","Superior quality powder"
"Module/Description/1657","Basic gun tackles"
"Module/Description/1758","Treatise on light carriages"
"Module/Description/1759","Treatise on light carriages"
"Module/Description/1760","Treatise on light carriages"
"Module/Description/1600","New improved tackles allowing faster better movement of the carriage"
"Module/Description/1147","A significant change in the design of garrison carriages"
"Module/Description/1148","A significant change in the design of garrison carriages"
"Module/Description/1149","A significant change in the design of garrison carriages"
"Module/Description/1375","Well trained gunners"
"Module/Description/1376","Well trained artillery officers"
"Module/Description/1573","Well trained gunners"
"Module/Description/1574","Well trained artillery officers"
"Module/Description/183","Treatise on improved powder storage"
"Module/Description/185","Treatise on improved powder storage"
"Module/Description/187","Treatise on improved powder storage"
"Module/Description/1144","'Condemned Congreve's Sights have they, Gentlemen? I regret to hear it: but may I be d-d if ever the Admiralty send me to sea without them!'"
"Module/Description/1145","'Condemned Congreve's Sights have they, Gentlemen? I regret to hear it: but may I be d-d if ever the Admiralty send me to sea without them!'"
"Module/Description/1146","'Condemned Congreve's Sights have they, Gentlemen? I regret to hear it: but may I be d-d if ever the Admiralty send me to sea without them!'"
"Module/Description/1024","On use of notched angles in gunnery"
"Module/Description/1025","On use of notched angles in gunnery"
"Module/Description/1026","On use of notched angles in gunnery"
"Module/Description/1761","Pellew's guide on aiming"
"Module/Description/528","Treatise on light carriages"
"Module/Description/530","Treatise on light carriages"
"Module/Description/532","Treatise on light carriages"
"Module/Description/1135","A treatise on naval gunnery by french Admiralty"
"Module/Description/1136","A treatise on naval gunnery by french Admiralty"
"Module/Description/1137","A treatise on naval gunnery by french Admiralty"
"Module/Description/1138","A book every man-of-war should be provided with.  Measurements of different parts of Ships of War and their Masts"
"Module/Description/1139","A book every man-of-war should be provided with.  Measurements of different parts of Ships of War and their Masts"
"Module/Description/1140","A book every man-of-war should be provided with.  Measurements of different parts of Ships of War and their Masts"
"Module/Description/1150","A celebrated pamphlet that inspires introdution of constant training of gunners on board of Ship-of-War written by a famous Admiral"
"Module/Description/1151","A celebrated pamphlet that inspires introdution of constant training of gunners on board of Ship-of-War written by a famous Admiral"
"Module/Description/1152","A celebrated pamphlet that inspires introdution of constant training of gunners on board of Ship-of-War written by a famous Admiral"
"Module/Description/1379","Notes on making superior saltpeter from the earth of the caves"
"Module/Description/1321",""
"Module/Description/327",""
"Module/Description/328",""
"Module/Description/329",""
"Module/Description/330",""
"Module/Description/331",""
"Module/Description/332",""
"Module/Description/333",""
"Module/Description/334",""
"Module/Description/335",""
"Module/Description/336",""
"Module/Description/337",""
"Module/Description/1322",""
"Module/Description/1323",""
"Module/Description/1324",""
"Module/Description/1325",""
"Module/Description/1326",""
"Module/Description/1690",""
"Module/Description/1691",""
"Module/Description/1692",""
"Module/Description/1693",""
"Module/Description/1694",""
"Module/Description/1695",""
"Module/Description/1696",""
"Module/Description/1697",""
"Module/Description/1698",""
"Module/Description/1699",""
"Module/Description/1700",""
"Module/Description/1701",""
"Module/Description/1702",""
"Module/Description/1703",""
"Module/Description/1704",""
"Module/Description/1705",""
"Module/Description/1706",""
"Module/Description/1707",""
"Module/Description/1708",""
"Module/Description/1709",""
"Module/Description/1710",""
"Module/Description/1677",""
"Module/Description/1327",""
"Module/Description/1328",""
"Module/Description/338",""
"Module/Description/339",""
"Module/Description/340",""
"Module/Description/341",""
"Module/Description/342",""
"Module/Description/343",""
"Module/Description/344",""
"Module/Description/345",""
"Module/Description/346",""
"Module/Description/347",""
"Module/Description/1329",""
"Module/Description/348",""
"Module/Description/349",""
"Module/Description/350",""
"Module/Description/351",""
"Module/Description/352",""
"Module/Description/353",""
"Module/Description/354",""
"Module/Description/355",""
"Module/Description/356",""
"Module/Description/357",""
"Module/Description/1330",""
"Module/Description/1331",""
"Module/Description/402",""
"Module/Description/403",""
"Module/Description/1383","A guide on fast rigging handling"
"Module/Description/1384","A guide on sails trimming"
"Module/Description/1385","A guide on staysails trimming"
"Module/Description/1386","Remarks on finding the correct cargo distribution on board of Ship-of-War"
"Module/Description/1387","A complete guide on ship proper handling"
"Module/Description/1215","Practical experiences of captain William Falconer of Royal Navy"
"Module/Description/1216","Practical experiences of captain William Falconer of Royal Navy"
"Module/Description/1217","Practical experiences of captain William Falconer of Royal Navy"
"Module/Description/208","How to stow ballast"
"Module/Description/210","How to stow ballast"
"Module/Description/212","How to stow ballast"
"Module/Description/490","Staysails - definitive guide"
"Module/Description/400","Staysails - definitive guide"
"Module/Description/493","Staysails - definitive guide"
"Module/Description/213","On improving the rudders"
"Module/Description/215","On improving the rudders"
"Module/Description/217","On improving the rudders"
"Module/Description/1601","Well travelled loodsman who knows local waters well. Works in open world only."
"Module/Description/1389","Adding ballast improves the stiffness but impairs the speed"
"Module/Description/1659","Basic ship ballast"
"Module/Description/1762","How to stow ballast"
"Module/Description/1763","How to stow ballast"
"Module/Description/1764","How to stow ballast"
"Module/Description/1394","On trimming by the stern"
"Module/Description/1395","On winging out the ballast"
"Module/Description/1390","Regional hull improvement"
"Module/Description/1391","Regional hull improvement"
"Module/Description/1392","A false keel improves the weatherliness but impairs the speed"
"Module/Description/1602","Refit of the underwater planking increasing the average speed"
"Module/Description/1153","An old method to protect the hull of Ship-of-war with its disadvantages caused by electolytic reaction"
"Module/Description/1154","An old method to protect the hull of Ship-of-war with its disadvantages caused by electolytic reaction"
"Module/Description/1155","An old method to protect the hull of Ship-of-war with its disadvantages caused by electolytic reaction"
"Module/Description/1723",""
"Module/Description/198","Hull refit providing the copper plating for your veffel allowing to increase the sustained speed during long journeys"
"Module/Description/200","Treatise on copper plating"
"Module/Description/202","Treatise on copper plating"
"Module/Description/1413","Regional rig improvement"
"Module/Description/1414","This refit provides better ship turning"
"Module/Description/1415","This refit provides better ship turning"
"Module/Description/1416","This refit provides better rig protection"
"Module/Description/1417","This refit provides better speed on close hauled course"
"Module/Description/1418","This refit provides better  ship speed"
"Module/Description/1419","This refit provides better rig protection"
"Module/Description/1420","This refit provides better speed on close hauled course"
"Module/Description/1421","This refit provides better  ship speed"
"Module/Description/1735","Manual on better blocks"
"Module/Description/1736","Manual on better blocks"
"Module/Description/1737","Manual on better blocks"
"Module/Description/1393","Longleaf Pine is lighter than the common pines of the West Indies"
"Module/Description/1388","On raking masts aft"
"Module/Description/1660","Lighten helm
"
"Module/Description/1579","Sailcloth refit"
"Module/Description/203","Manual on better blocks"
"Module/Description/205","Manual on better blocks"
"Module/Description/207","Manual on better blocks"
"Module/Description/1603","Admiralty combat reports describing sailing under fire"
"Module/Description/218","Treatise on trimming the rig for speed"
"Module/Description/220","Treatise on trimming the rig for speed"
"Module/Description/222","Treatise on trimming the rig for speed"
"Module/Description/494","Studding Sails - definititive guide"
"Module/Description/401","Studding Sails - definititive guide"
"Module/Description/497","Studding Sails - definititive guide"
"Module/Description/223","Treatise on trimming the rig for turning"
"Module/Description/225","Treatise on trimming the rig for turning"
"Module/Description/227","Treatise on trimming the rig for turning"
"Module/Description/228",""
"Module/Description/399",""
"Module/Description/542",""
"Module/Description/554",""
"Module/Description/555",""
"Module/Description/556",""
"Module/Description/557",""
"Module/Description/646","-5% dispersion on carronades"
"Module/Description/644","Disable button Leave Battle in distance 750. Works on both side in PVP, only on NPC side in PVE."
"Module/Description/596","useless perk 2"
"Module/Description/643","Defend command costs 5 preparation points"
"Module/Description/627","Boarding is only possible if enemy has one more sailor"
"Module/Description/699","Recovers 70% of losses on instance end if your ship is alive"
"Module/Description/616","Allows use of double charge"
"Module/Description/594","Allows use of double shot"
"Module/Description/651","Dreadful – enemy morale drops faster when boarding(now 50% faster). Attack is 10pts cheaper"
"Module/Description/661","Reduce cooldown of emercency repair by 50%"
"Module/Description/662","+5% repair to hull (for the repair kit)"
"Module/Description/663","+10% to crew recovered by medkits"
"Module/Description/666","Increase the size of the fleet by +1"
"Module/Description/667","Increase the size of the fleet by +1"
"Module/Description/1019","Increase the size of the fleet by +1"
"Module/Description/617","If sailing frigate get 0.5 kn kn -2.5% reload"
"Module/Description/618","If sailing light ship get 0.5 kn -2.5% reload"
"Module/Description/619","If sailing lineship get 0.5 kn -2.5% reload"
"Module/Description/628","Moždíř reloads 2x faster – accuracy is 25% better – shoots 2 balls from 1 moždíř"
"Module/Description/599","+5% reload if enemy has a pirate flag"
"Module/Description/598","+0.5 knot faster when enemy has national flag, +3% turning speed"
"Module/Description/597","Ship starts with all guns loaded"
"Module/Description/645","Adds 50% of enemy crew to your crew after boarding won"
"Module/Description/647","+2.5% water bailing "
"Module/Description/648","-5% damage on sails + 2.5% sail repair (instance)"
"Module/Description/691","Useless perk"
"Module/Description/652","useless perk 1"
"Module/Description/595","Battle repairs don't consume repair kit"
"Module/Description/649","3 degrees less náklon "
"Module/Description/653","Reduce cost of crew hire by 20%"
"Module/Description/654","Increase fishing drop chances by 25%"
"Module/Description/655","Increase labor hours generation by 20%"
"Module/Description/656","Lower frigate labor hours by 25%"
"Module/Description/668","Allows you to determine your position at sea"
"Module/Description/679","+20% more Nákladový prostor space"
"Module/Description/657","Lower unrated ship labor hours by 30%"
"Module/Description/658","Lower ship of the line labor hours by 20%"
"Module/Description/659","Increase labor hours wallet by 25%"
"Module/Description/660","Lower ship construction labor hours by 10%"
"Module/Description/680","+15% to ship prices sold to ports"
"Recipe/Description/1200",""
"Recipe/Description/1201",""
"Recipe/Description/1202",""
"Recipe/Description/1615",""
"Recipe/Description/1616",""
"Recipe/Description/1174",""
"Recipe/Description/1175",""
"Recipe/Description/1176",""
"Recipe/Description/1181",""
"Recipe/Description/1182",""
"Recipe/Description/1183",""
"Recipe/Description/1180",""
"Recipe/Description/1177",""
"Recipe/Description/1178",""
"Recipe/Description/1179",""
"Recipe/Description/1617",""
"Recipe/Description/1203",""
"Recipe/Description/1204",""
"Recipe/Description/1205",""
"Recipe/Description/1187",""
"Recipe/Description/1188",""
"Recipe/Description/1189",""
"Recipe/Description/1682",""
"Recipe/Description/1683",""
"Recipe/Description/1684",""
"Recipe/Description/1685",""
"Recipe/Description/1476",""
"Recipe/Description/1477",""
"Recipe/Description/1478",""
"Recipe/Description/1193",""
"Recipe/Description/1621",""
"Recipe/Description/1197",""
"Recipe/Description/1198",""
"Recipe/Description/1199",""
"Recipe/Description/1206",""
"Recipe/Description/1207",""
"Recipe/Description/1208",""
"Recipe/Description/1479",""
"Recipe/Description/1480",""
"Recipe/Description/1481",""
"Recipe/Description/1209",""
"Recipe/Description/1210",""
"Recipe/Description/1211",""
"Recipe/Description/1190",""
"Recipe/Description/1191",""
"Recipe/Description/1192",""
"Recipe/Description/1184",""
"Recipe/Description/1185",""
"Recipe/Description/1186",""
"Recipe/Description/1618",""
"Recipe/Description/1194",""
"Recipe/Description/1195",""
"Recipe/Description/1196",""
"Recipe/Description/1171",""
"Recipe/Description/1172",""
"Recipe/Description/1173",""
"Recipe/Description/1562",""
"Recipe/Description/1289",""
"Recipe/Description/1370",""
"Recipe/Description/1119",""
"Recipe/Description/1237",""
"Recipe/Description/1238",""
"Recipe/Description/1000",""
"Recipe/Description/1239",""
"Recipe/Description/1240",""
"Recipe/Description/1120",""
"Recipe/Description/1241",""
"Recipe/Description/1242",""
"Recipe/Description/1001",""
"Recipe/Description/1243",""
"Recipe/Description/1244",""
"Recipe/Description/1002",""
"Recipe/Description/1245",""
"Recipe/Description/1246",""
"Recipe/Description/1121",""
"Recipe/Description/1247",""
"Recipe/Description/1248",""
"Recipe/Description/1003",""
"Recipe/Description/1249",""
"Recipe/Description/1250",""
"Recipe/Description/1290",""
"Recipe/Description/1291",""
"Recipe/Description/1292",""
"Recipe/Description/1004",""
"Recipe/Description/1251",""
"Recipe/Description/1252",""
"Recipe/Description/1619",""
"Recipe/Description/1620",""
"Recipe/Description/1622",""
"Recipe/Description/1623",""
"Recipe/Description/1624",""
"Recipe/Description/1625",""
"Recipe/Description/1496",""
"Recipe/Description/1497",""
"Recipe/Description/1498",""
"Recipe/Description/1499",""
"Recipe/Description/1500",""
"Recipe/Description/1501",""
"Recipe/Description/1502",""
"Recipe/Description/1503",""
"Recipe/Description/1504",""
"Recipe/Description/1715",""
"Recipe/Description/1580",""
"Recipe/Description/1505",""
"Recipe/Description/1506",""
"Recipe/Description/1507",""
"Recipe/Description/1508",""
"Recipe/Description/1509",""
"Recipe/Description/1510",""
"Recipe/Description/1511",""
"Recipe/Description/1512",""
"Recipe/Description/1513",""
"Recipe/Description/1575",""
"Recipe/Description/1576",""
"Recipe/Description/1514",""
"Recipe/Description/1515",""
"Recipe/Description/1516",""
"Recipe/Description/1517",""
"Recipe/Description/1713",""
"Recipe/Description/1518",""
"Recipe/Description/1519",""
"Recipe/Description/1520",""
"Recipe/Description/1521",""
"Recipe/Description/1522",""
"Recipe/Description/1523",""
"Recipe/Description/1524",""
"Recipe/Description/1672",""
"Recipe/Description/1673",""
"Recipe/Description/1014",""
"Recipe/Description/1306",""
"Recipe/Description/1307",""
"Recipe/Description/1308",""
"Recipe/Description/1309",""
"Recipe/Description/1310",""
"Recipe/Description/1311",""
"Recipe/Description/1482",""
"Recipe/Description/1544",""
"Recipe/Description/1312",""
"Recipe/Description/1483",""
"Recipe/Description/1545",""
"Recipe/Description/1566",""
"Recipe/Description/1546",""
"Recipe/Description/1313",""
"Recipe/Description/1314",""
"Recipe/Description/1315",""
"Recipe/Description/1567",""
"Recipe/Description/1547",""
"Recipe/Description/1316",""
"Recipe/Description/1548",""
"Recipe/Description/1317",""
"Recipe/Description/1568",""
"Recipe/Description/1285",""
"Recipe/Description/992",""
"Recipe/Description/1005",""
"Recipe/Description/1006",""
"Recipe/Description/1007",""
"Recipe/Description/1293",""
"Recipe/Description/1525",""
"Recipe/Description/1008",""
"Recipe/Description/1484",""
"Recipe/Description/1649",""
"Recipe/Description/1626",""
"Recipe/Description/1627",""
"Recipe/Description/1650",""
"Recipe/Description/1571",""
"Recipe/Description/994",""
"Recipe/Description/1012",""
"Recipe/Description/1013",""
"Recipe/Description/1628",""
"Recipe/Description/1651",""
"Recipe/Description/1572",""
"Recipe/Description/1253",""
"Recipe/Description/1015",""
"Recipe/Description/1254",""
"Recipe/Description/1255",""
"Recipe/Description/1016",""
"Recipe/Description/1485",""
"Recipe/Description/1549",""
"Recipe/Description/1486",""
"Recipe/Description/1550",""
"Recipe/Description/1551",""
"Recipe/Description/1256",""
"Recipe/Description/1257",""
"Recipe/Description/1017",""
"Recipe/Description/1552",""
"Recipe/Description/1258",""
"Recipe/Description/1487",""
"Recipe/Description/1488",""
"Recipe/Description/1489",""
"Recipe/Description/1259",""
"Recipe/Description/1018",""
"Recipe/Description/1557",""
"Recipe/Description/1538",""
"Recipe/Description/1442",""
"Recipe/Description/1443",""
"Recipe/Description/1444",""
"Recipe/Description/1260",""
"Recipe/Description/1261",""
"Recipe/Description/1262",""
"Recipe/Description/1263",""
"Recipe/Description/1264",""
"Recipe/Description/1265",""
"Recipe/Description/1266",""
"Recipe/Description/1267",""
"Recipe/Description/1268",""
"Recipe/Description/1269",""
"Recipe/Description/1270",""
"Recipe/Description/1271",""
"Recipe/Description/1272",""
"Recipe/Description/1273",""
"Recipe/Description/1274",""
"Recipe/Description/1275",""
"Recipe/Description/1276",""
"Recipe/Description/1277",""
"Recipe/Description/1278",""
"Recipe/Description/1279",""
"Recipe/Description/1280",""
"Recipe/Description/1281",""
"Recipe/Description/1282",""
"Recipe/Description/1283",""
"Recipe/Description/1284",""
"Recipe/Description/230",""
"Recipe/Description/430",""
"Recipe/Description/366",""
"Recipe/Description/391",""
"Recipe/Description/231",""
"Recipe/Description/232",""
"Recipe/Description/233",""
"Recipe/Description/367",""
"Recipe/Description/431",""
"Recipe/Description/235",""
"Recipe/Description/432",""
"Recipe/Description/394",""
"Recipe/Description/368",""
"Recipe/Description/369",""
"Recipe/Description/910",""
"Recipe/Description/1214",""
"Recipe/Description/629",""
"Recipe/Description/630",""
"Recipe/Description/631",""
"Recipe/Description/624",""
"Recipe/Description/881",""
"Recipe/Description/1212",""
"Recipe/Description/418",""
"Recipe/Description/419",""
"Recipe/Description/882",""
"Recipe/Description/901",""
"Recipe/Description/1213",""
"Recipe/Description/642",""
"Recipe/Description/632",""
"Recipe/Description/633",""
"Recipe/Description/634",""
"Recipe/Description/420",""
"Recipe/Description/883",""
"Recipe/Description/433",""
"Recipe/Description/240",""
"Recipe/Description/241",""
"Recipe/Description/242",""
"Recipe/Description/885",""
"Recipe/Description/925",""
"Recipe/Description/1360",""
"Recipe/Description/244",""
"Recipe/Description/1361",""
"Recipe/Description/301",""
"Recipe/Description/1362",""
"Recipe/Description/247",""
"Recipe/Description/250",""
"Recipe/Description/302",""
"Recipe/Description/926",""
"Recipe/Description/1363",""
"Recipe/Description/246",""
"Recipe/Description/251",""
"Recipe/Description/252",""
"Recipe/Description/253",""
"Recipe/Description/1364",""
"Recipe/Description/1365",""
"Recipe/Description/254",""
"Recipe/Description/303",""
"Recipe/Description/1366",""
"Recipe/Description/1367",""
"Recipe/Description/1368",""
"Recipe/Description/255",""
"RecipeModule/Description/370",""
"RecipeModule/Description/371",""
"RecipeModule/Description/372",""
"RecipeModule/Description/373",""
"RecipeModule/Description/374",""
"RecipeModule/Description/236",""
"RecipeModule/Description/376",""
"RecipeModule/Description/377",""
"RecipeModule/Description/378",""
"RecipeModule/Description/379",""
"RecipeModule/Description/423",""
"RecipeModule/Description/380",""
"RecipeModule/Description/381",""
"RecipeModule/Description/382",""
"RecipeModule/Description/383",""
"RecipeModule/Description/424",""
"RecipeModule/Description/375",""
"RecipeModule/Description/384",""
"RecipeModule/Description/385",""
"RecipeModule/Description/386",""
"RecipeModule/Description/387",""
"RecipeModule/Description/388",""
"RecipeModule/Description/389",""
"RecipeModule/Description/1445",""
"RecipeModule/Description/1446",""
"RecipeModule/Description/1447",""
"RecipeModule/Description/1448",""
"RecipeModule/Description/1449",""
"RecipeModule/Description/1450",""
"RecipeModule/Description/1451",""
"RecipeModule/Description/1452",""
"RecipeModule/Description/1453",""
"RecipeModule/Description/1581",""
"RecipeModule/Description/1454",""
"RecipeModule/Description/1455",""
"RecipeModule/Description/1456",""
"RecipeModule/Description/1457",""
"RecipeModule/Description/1458",""
"RecipeModule/Description/1459",""
"RecipeModule/Description/1460",""
"RecipeModule/Description/1461",""
"RecipeModule/Description/1462",""
"RecipeModule/Description/1577",""
"RecipeModule/Description/1578",""
"RecipeModule/Description/1463",""
"RecipeModule/Description/1464",""
"RecipeModule/Description/1465",""
"RecipeModule/Description/1466",""
"RecipeModule/Description/1714",""
"RecipeModule/Description/1467",""
"RecipeModule/Description/1468",""
"RecipeModule/Description/1469",""
"RecipeModule/Description/1470",""
"RecipeModule/Description/1471",""
"RecipeModule/Description/1472",""
"RecipeModule/Description/1473",""
"Item/Description/77",""
"Item/Description/697",""
"Item/Description/1724",""
"Item/Description/1369",""
"Item/Description/1768",""
"Item/Description/593","The bottle is sealed with wax.  You wonder, ""How did it end up here?"""
"Item/Description/600",""
"Item/Description/601",""
"MarkItem/Description/987",""
"MarkItem/Description/988",""
"MarkItem/Description/989","Doubloons"
"MarkItem/Description/990","Trading Manifest - reward for trader ships or trading missions"
"MarkItem/Description/1537","Victory Mark - conquest reward"
"Cannon/Description/50","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/51","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/52","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/53","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/54","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/55","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/56",""
"Cannon/Description/57",""
"Cannon/Description/58",""
"Cannon/Description/59",""
"Cannon/Description/60",""
"Cannon/Description/692","--------------
Can be used only for ship L'Ocean"
"Cannon/Description/61",""
"Cannon/Description/62",""
"Cannon/Description/63",""
"Cannon/Description/64",""
"Cannon/Description/65",""
"Cannon/Description/66",""
"Cannon/Description/67",""
"Cannon/Description/1666","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/1583","--------------
You can use only Balls for this type of gun"
"Cannon/Description/68",""
"Cannon/Description/693","--------------
Can be used only for ship L'Ocean"
"Cannon/Description/69",""
"Cannon/Description/70",""
"Cannon/Description/71",""
"Cannon/Description/1711","--------------
You can't use Double or Double Charge for this type of gun"
"Cannon/Description/72",""
"Cannon/Description/73",""
"Cannon/Description/74",""
"Battle/BattleStatisticItems/HULL","Hull"
"Battle/BattleStatisticItems/SAIL","Sails"
"Battle/BattleStatisticItems/FIRE","Fire"
"Battle/BattleStatisticItems/MODULE","Module"
"Battle/BattleStatisticItems/MAST","Mast"
"Battle/BattleStatisticItems/SHOCK","Shock"
"Battle/BattleStatisticItems/KILL","Kill"
"Battle/BattleStatisticItems/ASSIST","Assist"
"Battle/BattleStatisticItems/HOLE","Hole"
"Battle/BattleStatisticItems/CANNON","Cannon"
"Battle/BattleStatisticItems/BOARDING","Boarding"
"Battle/BattleStatisticItems/CREW","Crew"
"Battle/BattleStatisticItems/MUSKET","Musket"
"Battle/BattleStatisticItems/RAM","Ram"
"Battle/BotManagement/FollowCommand","Follow"
"Battle/BotManagement/StopCommand","Stop"
"Battle/BotManagement/RetreatCommand","Retreat"
"Battle/BotManagement/DestroyCommand","Destroy"
"Battle/BotManagement/DemastCommand","Demast"
"Battle/BotManagement/FreeCommand","Free mode"
"Battle/BotManagement/HoldFireCommand","Hold fire"
"Battle/BotManagement/CannotLeave","Cannot leave {0}"
"Battle/BotManagement/Header","Information"
"Battle/BotManagement/DetailsCheckbox","Details"
"Battle/BotManagement/CanLeave","Can leave"
"RecipeResource/Description/909",""
"RecipeResource/Description/441",""
"RecipeResource/Description/457",""
"RecipeResource/Description/442",""
"RecipeResource/Description/969",""
"RecipeResource/Description/884",""
"RecipeResource/Description/458",""
"RecipeResource/Description/625",""
"RecipeResource/Description/443",""
"RecipeResource/Description/444",""
"RecipeResource/Description/445",""
"RecipeResource/Description/446",""
"RecipeResource/Description/459",""
"RecipeResource/Description/460",""
"RecipeResource/Description/902",""
"RecipeResource/Description/461",""
"RecipeResource/Description/466",""
"RecipeResource/Description/462",""
"RecipeResource/Description/903",""
"RecipeResource/Description/447",""
"RecipeResource/Description/467",""
"RecipeResource/Description/612",""
"RecipeResource/Description/904",""
"RecipeResource/Description/463",""
"RecipeResource/Description/613",""
"RecipeShip/Description/745",""
"RecipeShip/Description/312",""
"RecipeShip/Description/305",""
"RecipeShip/Description/358",""
"RecipeShip/Description/313",""
"RecipeShip/Description/488",""
"RecipeShip/Description/664",""
"RecipeShip/Description/237",""
"RecipeShip/Description/1716",""
"RecipeShip/Description/306",""
"RecipeShip/Description/1717",""
